职位,公司,工作天数,薪资
法务专员,首金网 - 投资/期货,≥5天,150-180/天
人力资源实习生,首金网 - 投资/期货,≥5天,150-180/天
招聘顾问实习生,猎聘网 - 互联网,≥4天,100-130/天
FA实习生,小饭桌 - 互联网,≥4天,150-200/天
投资人（IR）实习生,小饭桌 - 互联网,≥4天,150-150/天
市场实习生,小饭桌 - 互联网,≥4天,100-100/天
财务实习生,小饭桌 - 互联网,≥4天,100-120/天
急招经济类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招工程类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招管理类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招新闻类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招法学类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招教育、心理、中文...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招金融、证券类兼职...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招财会类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招统计类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
急招医学类兼职讲师（...,圣才电子书 - 教育/培训,≥1天,300-500/天
策略策划实习生,一点资讯 - 互联网,≥5天,150-200/天
设计实习生,一点资讯 - 互联网,≥5天,150-180/天
招商策划实习生,一点资讯 - 互联网,≥4天,150-180/天
数据实习生,正和岛 - 互联网,≥3天,130-150/天
行业研究部门实习生,优信集团 - 互联网,≥3天,100-150/天
人力资源招聘助理实习...,优信集团 - 互联网,≥3天,100-150/天
财务实习生,优信集团 - 互联网,≥3天,100-120/天
法务,源码资本 - 投资/期货,≥4天,100-150/天
新媒体,源码资本 - 投资/期货,≥3天,100-150/天
投后人力实习生（招聘...,源码资本 - 投资/期货,≥3天,100-150/天
财务实习生,源码资本 - 投资/期货,≥3天,100-150/天
财务,软通动力 - 通信/电子,≥5天,100-100/天
房产家居方向内容运营...,字节跳动,≥3天,150-150/天
投行部债券业务实习生,财富证券,≥3天,面议
电影编辑实习生,橘子娱乐 - 互联网,≥4天,100-120/天
摄像实习生,橘子娱乐 - 互联网,≥4天,100-120/天
人力资源实习生（招聘...,易观亚太 - 互联网,≥3天,100-101/天
计算机视觉方向实习生,北京大学计算机所,≥3天,面议
宏观组实习生,广发证券 - 投资/期货,≥3天,面议
商务合作部运营实习生,百度 - 互联网,≥4天,面议
债券融资总部销售交易...,海通证券,≥3天,面议
人力资源实习生,百济神州生物科技,≥3天,150-150/天
短视频|直播实习生,腾讯新闻,≥4天,面议
投资岗实习生,国开科创,≥4天,面议
实习生,工信部工业文化发展中...,≥3天,面议
行政实习生,北京粉丝时代 - 文化/娱乐,≥3天,100-110/天
实习编辑,盛拓传媒 - 互联网,≥4天,80-160/天
数码运营编辑实习,盛拓传媒 - 互联网,≥4天,80-160/天
内容编辑运营实习,盛拓传媒 - 互联网,≥4天,80-160/天
实习编导,盛拓传媒 - 互联网,≥5天,80-160/天
实习漫画师,盛拓传媒 - 互联网,≥5天,80-160/天
视频项目助理,盛拓传媒 - 互联网,≥5天,80-160/天
硬件编辑实习生,盛拓传媒 - 互联网,≥4天,80-160/天
新媒体运营实习生,盛拓传媒 - 互联网,≥4天,80-160/天
实习汽车编辑,盛拓传媒 - 互联网,≥4天,80-160/天
编辑,盛拓传媒 - 互联网,≥4天,80-160/天
课程顾问,弘创博学教育 - 教育/培训,≥5天,150-300/天
咨询顾问,弘创博学教育 - 教育/培训,≥5天,150-300/天
电话销售顾问+教育机...,弘创博学教育 - 教育/培训,≥5天,150-300/天
招生顾问,弘创博学教育 - 教育/培训,≥5天,150-300/天
销售顾问,弘创博学教育 - 教育/培训,≥5天,150-200/天
社群运营,大V店 - 互联网,≥5天,100-100/天
采销综合岗,大V店 - 互联网,≥5天,150-150/天
综合管理实习生,大V店 - 互联网,≥5天,150-180/天
用户运营实习生,大V店 - 互联网,≥5天,150-180/天
猎头寻访员,瀚卓 - 互联网,≥5天,100-200/天
猎头顾问助理（管培生...,瀚卓 - 互联网,≥5天,100-150/天
品牌部短视频策划（实...,氪空间 - 房地产,≥3天,100-150/天
内容运营实习生,氪空间 - 房地产,≥3天,100-150/天
产品运营实习生,氪空间 - 房地产,≥5天,100-150/天
业务支持助理实习生（...,氪空间 - 房地产,≥3天,100-150/天
HR实习生-培训组,氪空间 - 房地产,≥4天,100-150/天
IT运维实习生,36氪 - 互联网,≥3天,120-150/天
HRP系统部实习生,宝石花医疗 - 生物/医药,≥3天,150-200/天
Marcom Int...,万宝盛华 - 专业服务/咨询,≥3天,120-150/天
汇丰中国学生计划,外企德科 - 专业服务/咨询,≥3天,120-200/天
新媒体实习生,ApplySquar... - 互联网,≥3天,80-120/天
Tech Line ...,外联出国 - 专业服务/咨询,≥3天,120-120/天
AE实习生-北京奥美,奥美集团 - 广告,≥4天,49-50/天
人事助理,UMG联播传媒 - 影视传媒,≥5天,150-200/天
公关实习生-北京奥美,奥美集团 - 广告,≥4天,49-50/天
美术实习生-北京奥美,奥美集团 - 广告,≥5天,49-50/天
文案实习生,奥美集团 - 广告,≥4天,49-50/天
置业顾问,北京链家地产 - 房地产,≥5天,200-300/天
人力资源实习生,橘子娱乐 - 互联网,≥3天,100-120/天
艺人统筹实习生,橘子娱乐 - 互联网,≥4天,100-120/天
美妆运营实习生,橘子娱乐 - 互联网,≥4天,100-120/天
内容运营,橘子娱乐 - 互联网,≥5天,100-120/天
编导实习生,橘子娱乐 - 互联网,≥4天,100-120/天
运营实习生,橘子娱乐 - 互联网,≥4天,100-120/天
人力资源实习生,正和岛 - 互联网,≥4天,130-150/天
新媒体运营实习生,玩具超人 - 互联网,≥4天,100-200/天
国际业务实习生,正和岛 - 互联网,≥3天,130-150/天
项目运营实习生,正和岛 - 互联网,≥3天,120-140/天
客服实习生,正和岛 - 互联网,≥3天,130-150/天
市场部实习生（慕华教...,学堂在线 - 互联网,≥3天,120-150/天
市场部实习生,学堂在线 - 互联网,≥4天,120-150/天
策略运营实习生,八零创成教育科技（北... - 教育/培训,≥5天,130-160/天
新媒体运营实习生,八零创成教育科技（北... - 教育/培训,≥4天,100-120/天
产品培训讲师,八零创成教育科技（北... - 教育/培训,≥3天,120-120/天
主播运营实习生,八零创成教育科技（北... - 教育/培训,≥5天,130-160/天
人力资源实习生,八零创成教育科技（北... - 教育/培训,≥4天,140-160/天
教研员实习生,八零创成教育科技（北... - 教育/培训,≥5天,180-250/天
项目管理,八零创成教育科技（北... - 教育/培训,≥4天,120-150/天
网络编辑实习生,八零创成教育科技（北... - 教育/培训,≥3天,120-150/天
技术支持实习生（教学...,学堂在线 - 互联网,≥4天,120-150/天
财务,学堂在线 - 互联网,≥4天,120-150/天
营销推广实习生,威盛电子 - 通信/电子,≥4天,100-120/天
产品策划实习生,威盛电子 - 通信/电子,≥4天,100-120/天
招聘专员实习生,华翰咨询 - 公众服务,≥3天,120-180/天
猎头顾问助理实习生,华翰咨询 - 公众服务,≥3天,120-180/天
猎头顾问助理,华翰咨询 - 公众服务,≥3天,120-180/天
新媒体运营,虫星科技 - 互联网,≥4天,100-150/天
内容运营,虫星科技 - 互联网,≥4天,100-150/天
用户运营,虫星科技 - 互联网,≥4天,100-150/天
内容编辑实习生,IT桔子 - 互联网,≥3天,100-120/天
财务分析助理,和诚创新 - 专业服务/咨询,≥5天,100-120/天
投研分析,和诚创新 - 专业服务/咨询,≥5天,100-120/天
实习分析师,和诚创新 - 专业服务/咨询,≥5天,100-120/天
财务实习生,瑞思学科英语 - 教育/培训,≥4天,150-150/天
置业顾问 / 超高提...,链家 - 房地产,≥6天,300-400/天
链家 / 电话销售 ...,链家 - 房地产,≥6天,300-400/天
链家 / 置业顾问 ...,链家 - 房地产,≥6天,300-400/天
销售储备经理 / 无...,链家 - 房地产,≥6天,300-400/天
无责底薪4k / 房...,链家 - 房地产,≥6天,300-400/天
【链家】销售实习生/...,北京链家 - 房地产,≥5天,150-200/天
轻奢品牌运营实习生,与众不同 - 互联网,≥5天,120-200/天
商务运营实习生,与众不同 - 互联网,≥5天,120-200/天
设计实习,与众不同 - 互联网,≥5天,120-200/天
多语种翻译兼职,广州信实翻译公司 - 专业服务/咨询,≥5天,120-200/天
英语翻译（英翻中16...,广州信实翻译公司 - 专业服务/咨询,≥5天,100-120/天
电子书内容运营,圣才电子书 - 教育/培训,≥4天,100-120/天
人事助理,圣才电子书 - 教育/培训,≥6天,100-150/天
金融英语实习生,翻译先锋 - 专业服务/咨询,≥2天,100-200/天
【工程类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【管理类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【经济类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【医学类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【新闻类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【法学类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【教育类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【英语类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【心理类】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【金融、证券类】兼职...,圣才 - 教育/培训,≥1天,500-1000/天
【中文类（含文学类）...,圣才 - 教育/培训,≥1天,500-1000/天
【财会类（含经济师）...,圣才 - 教育/培训,≥1天,500-1000/天
【统计学】兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
【自学考试】六科目兼...,圣才 - 教育/培训,≥1天,500-1000/天
金融，证券类兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
英语类兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
经济学类兼职讲师,圣才 - 教育/培训,≥1天,500-1000/天
圣才教育——诚聘财会...,圣才 - 教育/培训,≥1天,500-1000/天
电子书编辑,圣才电子书 - 教育/培训,≥3天,100-120/天
运营实习生,宝石花医疗 - 生物/医药,≥3天,150-150/天
采购部实习生,宝石花医疗 - 生物/医药,≥3天,150-150/天
视频运营实习生（视频...,爱回收 - 互联网,≥4天,150-180/天
人事/HR,百度 - 互联网,≥4天,面议
搜索排序自然语言处理...,搜狗 - 互联网,≥4天,面议
人力资源实习生,中诚信国际信用评级有...,≥3天,100-150/天
财务助理实习生,浦发硅谷银行,≥4天,150-150/天
房产运营销售管培生,北京链家 - 房地产,≥6天,200-398/天
